"sim","seed","cell","pstar","errored","error_msg","declared","max_pcons","n_rows_out_sg","n_candidates_total","n_passed","sg.def","n","n_treated","events","event_rate","settings_ok","settings_bad","effect_measure","warnings","seconds"
1,8316952,1,0.5,FALSE,NA,1,0.78,5,16,5,"!{size <= 35} & !{meno}",686,246,296,0.431486880466472,TRUE,"","NULL","",5.718
2,8316953,1,0.5,FALSE,NA,1,0.99,71,223,71,"{age <= 46} & {er <= 9}",686,246,280,0.408163265306122,TRUE,"","NULL","",7.669
3,8316954,1,0.5,FALSE,NA,1,0.93,64,159,64,"!{pgr <= 26} & !{er <= 100}",686,246,288,0.419825072886297,TRUE,"","NULL","",6.326
4,8316955,1,0.5,FALSE,NA,1,0.79,16,36,16,"{nodes <= 1} & !{pgr <= 16}",686,246,273,0.397959183673469,TRUE,"","NULL","",3.715
5,8316956,1,0.5,FALSE,NA,1,0.67,10,73,10,"{er <= 100} & {nodes <= 1}",686,246,307,0.447521865889213,TRUE,"","NULL","",6.393
6,8316957,1,0.5,FALSE,NA,1,0.97,26,103,26,"!{pgr <= 77} & {er <= 100}",686,246,284,0.41399416909621,TRUE,"","NULL","",5.742
7,8316958,1,0.5,FALSE,NA,1,0.92,27,46,27,"!{size <= 35} & {pgr <= 184}",686,246,298,0.434402332361516,TRUE,"","NULL","",5.375
8,8316959,1,0.5,FALSE,NA,1,0.57,3,14,3,"!{er <= 174} & {pgr <= 337}",686,246,296,0.431486880466472,TRUE,"","NULL","",4.047
9,8316960,1,0.5,FALSE,NA,1,1,94,164,94,"!{pgr <= 184} & {age <= 61}",686,246,291,0.424198250728863,TRUE,"","NULL","",7.248
10,8316961,1,0.5,FALSE,NA,1,0.98,49,148,49,"!{age <= 61} & {er <= 70}",686,246,280,0.408163265306122,TRUE,"","NULL","",6.055
11,8316962,1,0.5,FALSE,NA,1,0.97,47,162,47,"{er <= 17} & {size <= 20}",686,246,312,0.454810495626822,TRUE,"","NULL","",6.546
12,8316963,1,0.5,FALSE,NA,1,0.78,10,40,10,"!{pgr <= 16} & {er <= 30}",686,246,267,0.389212827988338,TRUE,"","NULL","",3.747
13,8316964,1,0.5,FALSE,NA,1,0.76,3,39,3,"!{age <= 61} & {pgr <= 45}",686,246,291,0.424198250728863,TRUE,"","NULL","",5.542
14,8316965,1,0.5,FALSE,NA,1,0.96,19,90,19,"!{age <= 53} & {er <= 17}",686,246,317,0.462099125364431,TRUE,"","NULL","",5.603
15,8316966,1,0.5,FALSE,NA,1,0.97,31,61,31,"!{age <= 61} & !{er <= 0}",686,246,295,0.43002915451895,TRUE,"","NULL","",5.016
16,8316967,1,0.5,FALSE,NA,1,0.88,12,39,12,"!{grade3} & !{size <= 35}",686,246,285,0.415451895043732,TRUE,"","NULL","",4.737
17,8316968,1,0.5,FALSE,NA,1,0.95,33,104,33,"{er <= 70} & !{pgr <= 45}",686,246,300,0.43731778425656,TRUE,"","NULL","",6.6
