full | cell 2 | floor p* = 0.50 | B = 5000 | workers = 48
  192 / 5000 done, 31 s
  384 / 5000 done, 58 s
  576 / 5000 done, 86 s
  768 / 5000 done, 114 s
  960 / 5000 done, 144 s
  1152 / 5000 done, 173 s
  1344 / 5000 done, 201 s
  1536 / 5000 done, 226 s
  1728 / 5000 done, 256 s
  1920 / 5000 done, 283 s
  2112 / 5000 done, 310 s
  2304 / 5000 done, 342 s
  2496 / 5000 done, 367 s
  2688 / 5000 done, 397 s
  2880 / 5000 done, 423 s
  3072 / 5000 done, 452 s
  3264 / 5000 done, 481 s
  3456 / 5000 done, 507 s
  3648 / 5000 done, 533 s
  3840 / 5000 done, 560 s
  4032 / 5000 done, 592 s
  4224 / 5000 done, 620 s
  4416 / 5000 done, 647 s
  4608 / 5000 done, 675 s
  4800 / 5000 done, 705 s
  4992 / 5000 done, 730 s
  5000 / 5000 done, 735 s
wall-clock 735.2 s | errored 0 of 5000
cell2 exit 0
